1.787369088521907088e+03,1.000000000000000000e+00
1.787451162060258639e+03,1.000000000000000000e+00
1.787533235598609963e+03,9.999999999999998890e-01
1.787615309136961514e+03,9.999999999999998890e-01
1.787697382675312838e+03,9.999999999999995559e-01
1.787779456213664389e+03,9.999999999999990008e-01
1.787861529752015940e+03,9.999999999999975575e-01
1.787943603290367264e+03,9.999999999999940048e-01
1.788025676828718815e+03,9.999999999999855671e-01
1.788107750367070366e+03,9.999999999999659162e-01
1.788189823905421690e+03,9.999999999999207301e-01
1.788271897443773241e+03,9.999999999998183675e-01
1.788353970982124565e+03,9.999999999995898836e-01
1.788436044520476116e+03,9.999999999990878408e-01
1.788518118058827667e+03,9.999999999980010434e-01
1.788600191597178991e+03,9.999999999956835639e-01
1.788682265135530542e+03,9.999999999908169013e-01
1.788764338673882094e+03,9.999999999807507312e-01
1.788846412212233417e+03,9.999999999602446898e-01
1.788928485750584969e+03,9.999999999191029332e-01
1.789010559288936292e+03,9.999999998378085175e-01
1.789092632827287844e+03,9.999999996796088420e-01
1.789174706365639395e+03,9.999999993764225881e-01
1.789256779903990719e+03,9.999999988042029830e-01
1.789338853442342270e+03,9.999999977406590634e-01
1.789420926980693821e+03,9.999999957940572948e-01
1.789503000519045145e+03,9.999999922855998813e-01
1.789585074057396696e+03,9.999999860588619782e-01
1.789667147595748020e+03,9.999999751771561085e-01
1.789749221134099571e+03,9.999999564526138585e-01
1.789831294672451122e+03,9.999999247286167625e-01
1.789913368210802446e+03,9.999998718097637962e-01
1.789995441749153997e+03,9.999997849015673790e-01
1.790077515287505548e+03,9.999996443876864038e-01
1.790159588825856872e+03,9.999994207399430790e-01
1.790241662364208423e+03,9.999990703325584152e-01
1.790323735902559747e+03,9.999985299269787964e-01
1.790405809440911298e+03,9.999977096205394655e-01
1.790487882979262849e+03,9.999964841266667515e-01
1.790569956517614173e+03,9.999946823928808071e-01
1.790652030055965724e+03,9.999920757800594417e-01
1.790734103594317276e+03,9.999883653307425346e-01
1.790816177132668599e+03,9.999831690430238673e-01
1.790898250671020151e+03,9.999760105205267591e-01
1.790980324209371474e+03,9.999663108474429185e-01
1.791062397747723026e+03,9.999533859760063592e-01
1.791144471286074577e+03,9.999364522247057296e-01
1.791226544824425901e+03,9.999146425653927528e-01
1.791308618362777452e+03,9.998870361192107037e-01
1.791390691901129003e+03,9.998527025933524603e-01
1.791472765439480327e+03,9.998107622200760325e-01
1.791554838977831878e+03,9.997604601158496251e-01
1.791636912516183202e+03,9.997012519543180264e-01
